Accession,Gene
IPI00003935,HIST2H2BE
IPI00003944,DBT
IPI00003949,UBE2N
IPI00003964,USP9X
IPI00003965,USP7
IPI00003966,CA9
IPI00003968,NDUFA9
IPI00003970,ME3
IPI00003971,RTN1
IPI00003983,CD4
IPI00003985,BCS1L
IPI00003986,TRBV12-3
IPI00003990,BPHL
IPI00003999,TNFRSF25
IPI00004015,RUNX3
IPI00004045,RBPMS
IPI00004047,EXT2
IPI00004065,ART4
IPI00004067,SECISBP2L
IPI00004068,MED12
IPI00004069,TATDN2
IPI00004084,ATF6B
IPI00004092,ATP2A3
IPI00004101,BHMT
IPI00004114,RNASE6
IPI00004121,WNT2B
IPI00004125,WNT8B
IPI00004165,LOC100287483
IPI00004167,SALL1
IPI00004233,MKI67
IPI00004237,PHKA2
IPI00004247,PHKA1
IPI00004267,SIGMAR1
IPI00004272,CACNG5
IPI00004273,RBM25
IPI00004279,SLC15A1
IPI00004288,SIGLEC7
IPI00004290,DIEXF
IPI00004294,ANKRD1
IPI00004299,NUP210L
IPI00004301,DAPP1
IPI00004307,LAMP3
IPI00004308,FTSJ1
IPI00004310,LYPD3
IPI00004312,STAT2
IPI00004315,SIGLEC9
IPI00004317,POLG
IPI00004324,TRAPPC3
IPI00004325,TAF5L
IPI00004329,C7orf54
IPI00004334,GPR3
IPI00004337,ZBTB11
IPI00004338,BBC3
IPI00004341,FBXL17
IPI00004344,AFF4
IPI00004345,GPR1
IPI00004346,CCR10
IPI00004347,GPR4
IPI00004349,XCR1
IPI00004350,GTF2A1
IPI00004352,GPR6
IPI00004353,GTF2A2
IPI00004358,PYGB
IPI00004362,MORC1
IPI00004363,STK39
IPI00004364,NR1I2
IPI00004366,IL20RA
IPI00004367,FXYD6
IPI00004368,RTDR1
IPI00004372,MEP1A
IPI00004373,MBL2
IPI00004379,HMX1
IPI00004382,IL36A
IPI00004387,IL17B
IPI00004388,PTPN21
IPI00004389,TUBGCP4
IPI00004390,DUSP6
IPI00004392,NUDT1
IPI00004397,RALB
IPI00004398,SERP1
IPI00004399,ERRFI1
IPI00004401,ITGB1BP3
IPI00004405,GPR162
IPI00004406,UPP1
IPI00004407,SIT1
IPI00004408,ADD3
IPI00004409,DDR2
IPI00004413,TNFRSF21
IPI00004416,CHMP2A
IPI00004419,ZNF646
IPI00004420,TRIM66
IPI00004421,NAT2
IPI00004425,C15orf2
IPI00004431,PAX7
IPI00004433,CNTN6
IPI00004436,LSM1
IPI00004437,ANKRD10
IPI00004440,PTPRN
IPI00004445,SNTG2
IPI00004446,SRPX2
IPI00004447,VENTX
IPI00004450,RBMXL2
IPI00004454,DPM3
IPI00004457,AOC3
IPI00004459,DIMT1
IPI00004461,DGUOK
IPI00004470,DHDH
IPI00004471,PDLIM3
IPI00004472,WNK1
IPI00004473,NRG1
IPI00004474,TP53TG5
IPI00004476,TAS2R5
IPI00004477,CRCP
IPI00004480,ADAMDEC1
IPI00004482,ZNF544
IPI00004488,ATP6V1F
IPI00004489,MOCS3
IPI00004494,SEMA3E
IPI00004497,BCR
IPI00004500,N4BP3
IPI00004502,GFOD1
IPI00004504,SASH3
IPI00004506,KCTD5
IPI00004509,LTC4S
IPI00004511,PFKFB3
IPI00004516,PER2
IPI00004521,ETAA1
IPI00004523,ZFAND6
IPI00004524,GCA
IPI00004527,KIAA0355
IPI00004533,KIF3B
IPI00004534,PFAS
IPI00004539,DEDD
IPI00004549,BLNK
IPI00004550,KRT24
