Accession,Protein
IPI00883583,Q13398
IPI00883595,Q70HW3
IPI00883596,Q96HA4
IPI00883598,Q9NNW7
IPI00883619,Q8N465
IPI00883636,Q5VT79
IPI00883638,O14639
IPI00883654,Q9Y6Z5
IPI00883721,P46100
IPI00883723,Q8N697
IPI00883727,Q9UKT9
IPI00883733,Q9NUA8
IPI00883737,O75147
IPI00883762,O00154
IPI00883789,Q6ZMQ8
IPI00883790,Q92503
IPI00883793,O76075
IPI00883857,Q00839
IPI00883896,Q9UHB6
IPI00883910,Q14C86
IPI00883911,Q6R6M4
IPI00883930,O60320
IPI00883941,Q8N4C6
IPI00883948,Q6ZT89
IPI00883972,Q8IVJ8
IPI00883983,Q15147
IPI00883989,A0AVI2
IPI00884002,O43822
IPI00884041,O14578
IPI00884059,Q9BUL5
IPI00884099,Q6Q4G3
IPI00884105,P11279
IPI00884143,Q9NQC1
IPI00884155,A2RUB6
IPI00884185,Q9NV79
IPI00884187,Q9BSW2
IPI00884189,Q16827
IPI00884203,O43541
IPI00884212,Q96LV5
IPI00884225,Q9NVI1
IPI00884281,A2RU49
IPI00884322,Q9NXS3
IPI00884323,Q86VH4
IPI00884341,O60610
IPI00884359,Q6P461
IPI00884375,Q5SNT6
IPI00884425,Q5EBM0
IPI00884448,O60290
IPI00884887,Q0D2I5
IPI00884888,Q5SV17
IPI00884890,Q96I15
IPI00884892,Q8N9H8
IPI00884893,Q9C0G6
IPI00884895,Q9BWK5
IPI00884897,Q9C091
IPI00884898,Q8IXR5
IPI00884899,Q7Z442
IPI00884900,Q674X7
IPI00884901,Q8N3S3
IPI00884903,Q5HYK7
IPI00884904,Q8IVF2
IPI00884906,Q8NA31
IPI00884908,Q9H930
IPI00884910,Q8N0U4
IPI00884911,Q3B7T3
IPI00884912,Q6ISU1
IPI00884917,Q4ADV7
IPI00884918,Q7Z442
IPI00884920,Q6PIY5
IPI00884921,Q8NG48
IPI00884922,Q5VW22
IPI00884923,Q5HYK7
IPI00884925,Q6ZNL0
IPI00884928,Q5T5Y3
IPI00884929,Q6P2D8
IPI00884931,Q8N5S1
IPI00884932,P28288
IPI00884933,Q6ZQY2
IPI00884934,O43184
IPI00884936,Q8N9H8
IPI00884938,Q9GZM3
IPI00884939,A5D6W6
IPI00884940,Q96NL6
IPI00884943,Q6UWV7
IPI00884946,P13985
IPI00884948,Q8NFZ5
IPI00884949,Q7Z2Q7
IPI00884950,Q04206
IPI00884951,Q7Z5J1
IPI00884952,Q765P7
IPI00884953,Q6NZ36
IPI00884955,A8K010
IPI00884956,Q86TB9
IPI00884959,Q9C0G6
IPI00884960,Q9HBR0
IPI00884963,A0PK05
IPI00884964,Q5HYL7
IPI00884965,Q538Z0
IPI00884966,A6NC98
IPI00884968,Q9BWK5
IPI00884969,Q9BV35
IPI00884970,Q8NG04
IPI00884972,A5PLN9
IPI00884973,Q8WTU2
IPI00884975,A0AUZ9
IPI00884976,Q86UP8
IPI00884977,Q96DN2
IPI00884978,Q6P2D8
IPI00884979,Q8N3S3
IPI00884980,Q8N4T8
IPI00884981,P20742
IPI00884983,Q5HYL7
IPI00884984,A5PKW4
IPI00884985,Q9ULH0
IPI00884987,A0AUZ9
IPI00884988,Q06481
IPI00884989,Q6T4P5
IPI00884990,Q5T6J7
IPI00884991,Q9NU29
IPI00884996,Q9C0G6
IPI00884997,Q0VDD8
IPI00884998,Q6ZUM4
IPI00885001,Q5SXH7
IPI00885002,Q9BTZ2
IPI00885003,A0AUZ9
IPI00885004,A4UGR9
IPI00885007,Q9Y2G4
IPI00885008,A4QPH2
IPI00885010,Q9C0D5
IPI00885012,Q6ZTU2
IPI00885014,Q86XE0
IPI00885015,Q9NW38
IPI00885016,Q9Y4C2
IPI00885019,Q6T4P5
IPI00885020,Q5HYK7
IPI00885021,Q8N5U1
IPI00885026,Q6ZN54
IPI00885027,O15244
IPI00885028,Q5KU26
IPI00885029,Q6QAJ8
IPI00885032,Q6ISU1
IPI00885034,Q92664
IPI00885036,Q7L9B9
IPI00885037,Q0VDD8
IPI00885038,P43403
IPI00885039,Q9P2K1
IPI00885043,Q6UXS9
IPI00885044,A5D8W1
IPI00885046,Q9P2D7
IPI00885049,O75541
IPI00885050,Q9BTZ2
IPI00885051,Q9UP83
IPI00885052,Q9ULH0
IPI00885053,Q6UWT4
IPI00885054,A6NC98
IPI00885055,Q9ULH0
IPI00885057,Q9UHD1
IPI00885058,Q96N66
IPI00885059,Q6ZVC0
IPI00885060,Q7Z5J1
IPI00885062,Q6UXS9
IPI00885066,Q9HCI6
IPI00885067,Q9H5L6
IPI00885068,Q8N1F8
IPI00885069,Q9C0F0
IPI00885072,Q8IXR9
IPI00885073,Q6PEX7
IPI00885074,Q9P278
IPI00885075,P60985
IPI00885078,Q6ZUM4
IPI00885084,A5PLN9
IPI00885086,Q68CR1
IPI00885089,O95267
IPI00885092,Q8NFT2
IPI00885095,Q9C091
IPI00885096,Q9C0F0
IPI00885097,O75864
IPI00885101,Q8WXX0
IPI00885103,O75054
IPI00885104,Q99549
IPI00885105,Q8IVF2
IPI00885108,Q86TB9
IPI00885110,Q9UPP5
IPI00885111,Q2LD37
IPI00885113,Q96QE3
IPI00885114,Q9NVC3
IPI00885115,O95267
IPI00885116,Q6P2C0
IPI00885118,Q6ZUM4
IPI00885122,Q3MIW9
IPI00885123,Q96DR7
IPI00885124,Q8WXX0
IPI00885125,Q6KCM7
IPI00885127,O43251
IPI00885128,Q2UY09
IPI00885130,Q2LD37
IPI00885131,Q9UJA5
IPI00885132,O95267
IPI00885134,Q8N9W4
IPI00885135,A1A4V9
IPI00885137,Q96NL6
IPI00885140,Q8WXA2
IPI00885141,A5PLN7
IPI00885142,Q6ZT21
IPI00885145,A2A2Y4
IPI00885146,Q7Z442
IPI00885147,Q2YD98
IPI00885149,O95267
IPI00885150,Q8NI32
IPI00885151,Q9Y2C5
IPI00885152,Q8IVF5
IPI00885155,Q96RN1
IPI00885156,Q96RN1
IPI00885158,Q7Z4N8
IPI00885160,Q8TD57
IPI00885161,P48634
IPI00885162,Q96NL6
IPI00885163,Q8WU39
IPI00885165,Q6ZVN6
IPI00885166,P0CB38
IPI00885170,Q8IVF5
IPI00885172,Q15849
IPI00885173,A5PLN7
IPI00885174,Q96PX9
IPI00885176,Q8N9V7
IPI00885178,Q07812
IPI00885179,Q8N307
IPI00885180,Q9C091
IPI00885181,Q4LDE5
IPI00885182,Q86VW1
IPI00885183,Q9BT25
IPI00885184,A1A4V9
IPI00885185,Q66K41
IPI00885190,O60290
IPI00885196,Q5M7Z0
IPI00885197,Q2VPA4
IPI00885199,Q9BV35
IPI00885200,A8K855
IPI00885201,Q8WUF8
IPI00885202,Q7Z442
IPI00885203,Q07812
IPI00885204,Q8IYE0
IPI00885206,Q9H8M7
IPI00885207,Q8N9H8
IPI00885209,Q8TCX1
IPI00885210,A4GXA9
IPI00885211,Q96M86
IPI00885212,Q5HYK7
IPI00885213,Q16881
IPI00885215,Q401N2
IPI00885216,Q8NCM8
IPI00886722,Q6UX73
IPI00886728,Q2VWA4
IPI00886735,Q8NFR7
IPI00886740,Q6P1J6
IPI00886797,Q6L8Q7
IPI00886800,Q8TC17
IPI00886806,A8MUZ8
IPI00886819,Q9NZR4
IPI00886852,Q8NDT4
IPI00886884,Q685J3
IPI00886897,Q86YG4
IPI00886902,Q4G1C9
IPI00886950,Q6ZWE6
IPI00886962,Q0D2H9
IPI00886994,A6NDQ2
IPI00886998,Q8ND23
IPI00887001,Q8WY91
IPI00887016,B7ZBB8
IPI00887037,Q96IR2
IPI00887050,Q8IYA6
IPI00887051,Q495N2
IPI00887061,A6NM15
IPI00887087,A6NHP6
IPI00887108,Q9C0D2
IPI00887117,A7MCY6
IPI00887130,Q7RTU0
IPI00887145,P0CG01
IPI00887149,Q8IWW8
IPI00887166,Q7Z614
IPI00887167,Q5W0A0
IPI00887168,P0CB33
IPI00887198,Q6NSI8
IPI00887206,Q5JPI9
IPI00887210,Q5M9N0
IPI00887249,Q5T1H1
IPI00887254,P0C7X4
IPI00887273,Q05193
IPI00887293,Q9BZ81
IPI00887308,Q5JPF3
IPI00887335,Q2KJ03
IPI00887362,Q9P227
IPI00887371,Q9Y4R7
IPI00887374,O95428
IPI00887390,Q4G1C9
IPI00887405,Q9P242
IPI00887415,A5D8T8
IPI00887420,A7E2S9
IPI00887423,P0CAP1
IPI00887433,A8MTI9
IPI00887434,Q6ZV65
IPI00887489,Q8NCF0
IPI00887507,Q8N1W1
IPI00887526,Q7Z4L9
IPI00887535,Q8NHW4
IPI00887548,Q6ZS81
IPI00887563,Q4G1C9
IPI00887567,Q9Y222
IPI00887584,P0CAP1
IPI00887587,Q6ZT89
IPI00887595,Q9C0D2
IPI00887622,A1A519
IPI00887626,A6NNM8
IPI00887632,Q7Z7A1
IPI00887633,P13760
IPI00887636,A4D1F6
IPI00887640,B2RXH2
IPI00887646,P0CG20
IPI00887655,Q86WP2
IPI00887665,Q8TEF2
IPI00887672,A6NCI4
IPI00887704,B2RXF5
IPI00887719,Q8N7X2
IPI00887732,A6NNF4
IPI00887743,Q8N1W1
IPI00887756,Q6P2P2
IPI00887765,P78559
IPI00887796,Q96HQ2
IPI00887801,B3SHH9
IPI00887818,Q7Z614
IPI00887858,Q2TVT4
IPI00887869,A4D263
IPI00887898,Q495M3
IPI00887900,Q8N1W1
IPI00887902,Q5VZK9
IPI00887912,Q5JXC2
IPI00887916,P0CAP1
IPI00887927,A6NCS4
IPI00887935,A6NCF5
IPI00887948,Q8NHS4
IPI00887964,P0CF75
IPI00887977,Q59EK9
IPI00887997,Q96N16
IPI00888010,A5D8T8
IPI00888032,A6NC57
IPI00888042,P0CG23
IPI00888069,Q14C86
IPI00888080,Q6ZT77
IPI00888085,Q9BXP5
IPI00888091,Q9UHJ9
IPI00888113,Q9H374
IPI00888187,B1APH4
IPI00888207,Q6V0I7
IPI00888210,Q6P1J6
IPI00888216,Q8TDW7
IPI00888252,Q6ZUX3
IPI00888259,Q9ULN7
IPI00888269,Q6ZVN9
IPI00888278,Q4G0M1
IPI00888290,Q9BPX6
IPI00888339,Q7RTT9
IPI00888348,Q86V59
IPI00888358,O43414
IPI00888387,Q7Z7A1
IPI00888398,Q5TA31
IPI00888415,Q6PDB4
IPI00888423,Q6ZMS4
IPI00888429,B1AL46
IPI00888430,Q9UFH2
IPI00888445,Q8IU53
IPI00888475,P27816
IPI00888510,Q9BXP5
IPI00888542,A6NNW6
IPI00888543,Q6NUI2
IPI00888582,Q8WWU5
IPI00888634,A6NLI5
IPI00888646,Q96LU7
IPI00888696,Q5SW24
IPI00888702,P09086
IPI00888712,Q9BYX7
IPI00888736,Q96N16
IPI00888755,Q49A17
IPI00888758,Q05193
IPI00888770,A8MXE2
IPI00888794,Q6NZ63
IPI00888796,Q86WP2
IPI00888830,P0C7X5
IPI00888838,P0CB46
IPI00888858,Q59EK9
IPI00888868,Q5VYJ5
IPI00888890,P0C7T8
IPI00888891,Q96C92
IPI00888896,Q6NSI8
IPI00888907,O95273
IPI00888914,Q8WUY3
IPI00888920,B1AJZ9
IPI00888924,Q5SW24
IPI00888929,Q6NTE8
IPI00888935,P0C6E5
IPI00888946,A6NLU0
IPI00888953,A6NJ64
IPI00888960,Q6P1J6
IPI00888968,C9JTQ0
IPI00888973,Q68D91
IPI00888984,Q96CT2
IPI00888995,A8MWS5
IPI00888997,A6NGB7
IPI00888999,Q9ULN7
IPI00889000,Q9UBB6
IPI00889011,Q08AF8
IPI00889014,P0CAP1
IPI00889043,Q6IBW4
IPI00889046,Q5JPF3
IPI00889068,Q495M3
IPI00889076,C9JJ37
IPI00889079,Q7L0Q8
IPI00889129,Q9Y222
IPI00889131,Q6MZP7
IPI00889144,Q08AI6
IPI00889152,Q17R98
IPI00889171,Q8N9B5
IPI00889194,Q6ZVT0
IPI00889196,P0C7P4
IPI00889494,Q8TAX9
IPI00889496,Q8TDG4
IPI00889507,A6NM10
IPI00889512,Q6PIF6
IPI00889513,Q9NS87
IPI00889514,Q8NDA8
IPI00889515,P0C7A2
IPI00889522,A6QL63
IPI00889528,A8K0R7
IPI00889533,Q6GPH4
IPI00889535,Q6GPH4
IPI00889536,A6NGU7
IPI00889539,Q8TF21
IPI00889541,Q92841
IPI00889546,Q5TG92
IPI00889551,Q0VD83
IPI00889556,Q6UXC1
IPI00889558,Q9NXC5
IPI00889562,Q7Z4N2
IPI00889572,Q6ZMK1
IPI00889578,Q3B820
IPI00889586,Q6GPH4
IPI00889592,Q7Z6G8
IPI00889594,Q9BXX2
IPI00889596,Q5CZ79
IPI00889597,Q8TAX9
IPI00889606,Q2Y0W8
IPI00889612,A2VDJ0
IPI00889615,A5YM72
IPI00889619,Q7Z5L9
IPI00889621,Q9BU40
IPI00889624,Q4KWH8
IPI00889627,Q2Y0W8
IPI00889635,Q8NBW4
IPI00889641,Q9BY07
IPI00889646,Q9NXG0
IPI00889652,Q8NAU1
IPI00889659,Q8NDA8
IPI00889661,Q9BY07
IPI00889664,O60282
IPI00889668,O43847
IPI00889679,P13224
IPI00889689,Q8NFI3
IPI00889691,Q8NDA8
IPI00889693,Q68DA7
IPI00889697,Q86UB2
IPI00889705,Q5THR3
IPI00889706,Q5VZ03
IPI00889713,Q96HA7
IPI00889719,Q9BZP3
IPI00889735,Q7Z4N2
IPI00889736,Q8NCX0
IPI00889744,Q9NZQ8
IPI00889746,P43115
IPI00889747,Q9UG01
IPI00889748,Q330K2
IPI00889749,Q8NCX0
IPI00889750,Q8WWN9
IPI00889754,Q0VD83
IPI00889759,Q9BY07
IPI00889761,Q9BY07
IPI00889776,Q8NDA8
IPI00889778,Q9BZP3
IPI00889783,Q6ZMK1
IPI00890685,Q9Y2H2
IPI00890689,Q6PJT7
IPI00890691,Q9BPZ7
IPI00890692,Q8N1L4
IPI00890695,Q8TCU3
IPI00890697,Q9BYT5
IPI00890700,Q6E0U4
IPI00890701,Q6E0U4
IPI00890704,Q92617
IPI00890705,Q8WWX8
IPI00890708,Q86VE9
IPI00890710,Q5EBM0
IPI00890713,Q9H6A9
IPI00890714,Q6E0U4
IPI00890715,Q8NB90
IPI00890719,Q9HCM4
IPI00890720,Q49A33
IPI00890724,Q6E0U4
IPI00890727,Q8NB90
IPI00890728,Q96PJ5
IPI00890729,Q86WJ1
IPI00890731,Q9HCM4
IPI00890732,P0C7H8
IPI00890735,Q9Y2H2
IPI00890736,A4D2P6
IPI00890737,Q6ZN68
IPI00890738,P49023
IPI00890741,Q9BXT8
IPI00890743,O00743
IPI00890744,Q92637
IPI00890746,Q7RTY5
IPI00890747,Q9H6A9
IPI00890749,Q86WJ1
IPI00890750,Q5CZC0
IPI00890751,Q49A92
IPI00890753,Q7Z745
IPI00890756,Q96SK2
IPI00890759,Q2KHT4
IPI00890760,Q6E0U4
IPI00890761,Q6E0U4
IPI00890762,Q6E0U4
IPI00890763,Q96P31
IPI00890768,O75923
IPI00890771,Q9BXP2
IPI00890773,Q9Y2Z2
IPI00890774,Q96P31
IPI00890778,Q9BVQ7
IPI00890779,O75923
IPI00890781,Q6ZQP7
IPI00890785,Q6E0U4
IPI00890787,Q96N38
IPI00890795,Q8WVI0
IPI00890798,Q4KMQ1
IPI00890801,Q8WWV6
IPI00890802,Q6P575
IPI00890804,Q8N271
IPI00890808,Q9P2X3
IPI00890809,P22897
IPI00890812,B2CW77
IPI00890813,Q5I0G3
IPI00890814,A1KZ92
IPI00890816,Q7RTY5
IPI00890817,A6NJB7
IPI00890818,Q9BXT8
IPI00890819,Q9H799
IPI00890821,Q6PJT7
IPI00890825,Q9UGC7
IPI00890826,Q6E0U4
IPI00890827,O00743
IPI00890829,Q8WXC6
IPI00890830,Q3SY00
IPI00890831,Q7L5Y1
IPI00890834,Q96P31
IPI00890837,A6NHR9
IPI00892517,Q8NAG6
IPI00892538,Q8NAA4
IPI00892558,Q6ZN90
IPI00892582,Q5T4T6
IPI00892589,Q9NZQ0
IPI00892609,Q96P26
IPI00892614,Q96NL0
IPI00892617,Q6PF05
IPI00892643,Q3ZCS2
IPI00892644,Q8N8F4
IPI00892652,Q9P1U1
IPI00892658,Q8NAG6
IPI00892678,Q8NAA4
IPI00892696,Q9C091
IPI00892702,Q6H8Q1
IPI00892706,Q5TIA1
IPI00892711,A2RTX5
IPI00892718,Q96DC8
IPI00892732,Q5T953
IPI00892743,Q96AH0
IPI00892754,Q96NL0
IPI00892757,Q96C11
IPI00892763,Q8N8E2
IPI00892774,Q6PIS1
IPI00892785,Q96HL8
IPI00892786,Q9BTF0
IPI00892805,Q9HCD6
IPI00892819,Q6UXU4
IPI00892863,A8TX70
IPI00892917,Q49A88
IPI00892924,Q6UXD5
IPI00892939,Q8IX06
IPI00892941,A4FU01
IPI00892946,P0C875
IPI00892948,B5MCN3
IPI00892949,Q8N9Z2
IPI00892957,Q9NZM3
IPI00893002,A4UGR9
IPI00893006,A4D1B5
IPI00893010,Q86Y07
IPI00893020,Q7Z6K1
IPI00893039,P32239
IPI00893051,A9YTQ3
IPI00893065,Q8N8F6
IPI00893112,Q3KNS6
IPI00893116,Q8N1T3
IPI00893126,A8MTB9
IPI00893140,O75022
IPI00893152,P32239
IPI00893156,A6H8Y1
IPI00893164,O00321
IPI00893166,Q8N2N9
IPI00893167,Q9UNN4
IPI00893175,B9A064
IPI00893197,Q15257
IPI00893208,Q6ZRR7
IPI00893229,Q9Y6K1
IPI00893233,Q5T8I3
IPI00893234,O75147
IPI00893245,Q502W6
IPI00893258,Q8NDV3
IPI00893262,Q8IZS5
IPI00893263,P17014
IPI00893272,A6H8Y1
IPI00893280,A6H8Y1
IPI00893288,Q3V6T2
IPI00893305,Q8IWF2
IPI00893318,Q6P461
IPI00893323,Q5T6R2
IPI00893349,A9YTQ3
IPI00893362,Q15413
IPI00893415,A1Z1Q3
IPI00893434,Q9HCD6
IPI00893445,Q502W6
IPI00893448,Q96HL8
IPI00893455,Q8NCQ7
IPI00893471,Q6K0P9
IPI00893503,Q6IPT4
IPI00893505,Q9Y6T7
IPI00893506,Q9HC10
IPI00893513,P55017
IPI00893532,Q502W6
IPI00893533,Q15378
IPI00893549,Q96S19
IPI00893561,A6NKB5
IPI00893583,Q9UQ72
IPI00893618,Q5RIA9
IPI00893644,A4FU49
IPI00893655,O15021
IPI00893660,Q9ULN7
IPI00893687,Q6ZNQ3
IPI00893739,Q7Z6J0
IPI00893757,A6NJI9
IPI00893763,Q9UIL1
IPI00893786,A6QL64
IPI00893793,Q7Z6L1
IPI00893801,Q9BQ15
IPI00893820,Q86UD7
IPI00893835,O15245
IPI00893844,Q7Z6J0
IPI00893851,Q9C099
IPI00893857,Q86Y39
IPI00893859,Q08AD1
IPI00893871,Q8N8J6
IPI00893880,A1L1A6
IPI00893900,Q8N423
IPI00893915,A6H8Y1
IPI00893923,Q7L5D6
IPI00893924,Q86YR7
IPI00893931,P01920
IPI00893951,Q8N2E2
IPI00893953,Q53GD3
IPI00893977,O15245
IPI00893992,Q86YV0
IPI00894056,A6H8Y1
IPI00894061,Q8NCD3
IPI00894066,Q49A88
IPI00894093,O15021
IPI00894097,Q8IUX7
IPI00894101,Q6PF05
IPI00894131,A4FU01
IPI00894152,Q32NB8
IPI00894163,Q96H55
IPI00894170,A6NJT0
IPI00894186,Q9UDX4
IPI00894197,Q6YHU6
IPI00894208,Q96PG1
IPI00894209,Q9UNL4
IPI00894211,Q5HYI7
IPI00894213,Q9NQC3
IPI00894216,Q6UXU4
IPI00894229,Q96EK7
IPI00894232,Q5TG08
IPI00894235,Q6ZNJ1
IPI00894247,Q14766
IPI00894251,Q6PI73
IPI00894257,Q6P4F2
IPI00894262,A4FU01
IPI00894263,A6NDV4
IPI00894268,A4D1B5
IPI00894296,Q6ZW49
IPI00894306,Q502W6
IPI00894349,P08686
IPI00894383,Q8N819
IPI00894388,Q53G44
IPI00894394,Q86VF2
IPI00894400,Q32NB8
IPI00894418,P04637
IPI00894461,A4D126
IPI00894474,Q8IYT4
IPI00894475,Q86Y91
IPI00894492,Q70CQ2
IPI00894531,Q9HCD6
IPI00894564,P36268
IPI00895772,Q13017
IPI00895773,Q6ZQX7
IPI00895774,Q8IZD2
IPI00895778,Q6PIY7
IPI00895782,P0C7X1
IPI00895784,Q8IZD2
IPI00895786,Q9NY84
IPI00895790,B0I1T2
IPI00895795,Q9C004
IPI00895796,A6NNE9
IPI00895800,Q27J81
IPI00895801,P11310
IPI00895805,Q53EL9
IPI00895809,Q86TP1
IPI00895813,Q9NRC1
IPI00895814,Q96NU0
IPI00895816,Q6ZQX7
IPI00895817,Q29980
IPI00895818,Q6ZN18
IPI00895822,Q5ST30
IPI00895834,Q8NDB2
IPI00895838,Q9NY84
IPI00895842,Q14676
IPI00895844,Q9UQ16
IPI00895848,O95498
IPI00895851,Q4VXF1
IPI00895854,Q86TP1
IPI00895856,Q01484
IPI00895860,Q14676
IPI00895867,P0C7N4
IPI00895868,O95498
IPI00895869,P05165
IPI00895871,Q5TCQ9
IPI00895872,Q9UJA2
IPI00895873,A8MX76
IPI00895879,Q6ZMW3
IPI00895883,B0I1T2
IPI00895886,Q49AN0
IPI00895887,A8MYN8
IPI00895891,Q9UNL4
IPI00895892,Q5JS54
IPI00895894,Q8NG08
IPI00895899,Q5SSG8
IPI00895900,Q96KV7
IPI00895903,O75949
IPI00895905,P04637
IPI00895907,Q6ZSZ5
IPI00895909,Q6ZQX7
IPI00895910,Q3C1V1
IPI00895913,Q8N9I5
IPI00895915,Q9NZD8
IPI00895918,Q9NY84
IPI00895919,Q5JXA9
IPI00895924,Q53EL9
IPI00895925,Q9UNL4
IPI00895926,Q5SSG8
IPI00895929,P22105
IPI00895932,Q8IZD2
IPI00895945,Q8WVB6
IPI00895947,Q9NSC2
IPI00895948,Q96J86
IPI00895957,B0I1T2
IPI00896365,Q08AE8
IPI00896366,B2RXH4
IPI00896368,Q5T0Z8
IPI00896372,Q92876
IPI00896378,Q6P2S7
IPI00896380,P01871
IPI00896383,Q9Y572
IPI00896386,Q9Y2G0
IPI00896388,Q8IVK1
IPI00896392,Q8MH63
IPI00896394,Q6ZVL6
IPI00896403,Q6P2S7
IPI00896404,Q3B8N5
IPI00896419,Q14624
IPI00896420,Q8WV48
IPI00896427,Q5T0Z8
IPI00896432,A6NFR6
IPI00896436,O15027
IPI00896449,B2RUZ4
IPI00896453,B7Z1M9
IPI00896464,Q70UQ0
IPI00896466,Q8TDQ7
IPI00896467,Q9HCE6
IPI00896470,Q3MJ62
IPI00896471,Q5T011
IPI00896474,P55327
IPI00896475,Q9HCM3
IPI00896483,Q96T53
IPI00896495,Q96JE7
IPI00896497,Q9HCE6
IPI00896504,Q9Y223
IPI00896510,Q8TDQ7
IPI00896512,Q96JE7
IPI00896513,A6NKQ9
IPI00896516,Q7Z5P9
IPI00896521,Q494R4
IPI00896524,A6NI86
IPI00896525,Q6V1P9
IPI00896528,A6NFD8
IPI00896549,Q14524
IPI00900256,Q4AC94
IPI00900258,B3GLJ2
IPI00900259,Q8IZK6
IPI00900260,Q14155
IPI00900261,P0C7U8
IPI00900265,A8MTA8
IPI00900266,Q6YHU6
IPI00900270,Q1W4C9
IPI00900275,Q13936
IPI00900276,Q9UMS6
IPI00900279,P0C7V0
IPI00900280,Q9UJ78
IPI00900281,O94875
IPI00900287,Q9NRA1
IPI00900290,Q9NPS7
IPI00900295,O94875
IPI00900297,Q2VIR3
IPI00900302,P13591
IPI00900305,Q2VIR3
IPI00900306,P0C7T4
IPI00900312,P04049
IPI00900318,P35658
IPI00900323,O95789
IPI00900324,Q9UMS6
IPI00900325,P35658
IPI00900329,Q6MZP7
IPI00900331,P35658
IPI00900332,Q9BVM4
IPI00900334,Q8TEH3
IPI00900336,P0C7T5
IPI00900337,Q2NKQ1
IPI00900340,P13591
IPI00900344,Q5T319
IPI00900345,Q96PV7
IPI00900346,Q9NRA1
IPI00900348,P0C7T2
IPI00900350,Q6YHU6
IPI00900353,Q6P3S1
IPI00900354,A7KAX9
IPI00900355,Q9UGM3
IPI00900356,C9JQI7
IPI00900365,Q658T7
IPI00900366,A3KMH1
IPI00900369,P0C7V6
IPI00900374,Q96S16
IPI00900375,A6NL28
IPI00900377,Q6ZMV5
IPI00900378,Q14155
IPI00900379,Q8N4W9
IPI00900380,Q9ULC4
IPI00900383,A8MUH7
IPI00900387,P0C7T7
IPI00902430,Q6NVV9
IPI00902435,Q9NW15
IPI00902436,A5PLK6
IPI00902475,P0C852
IPI00902484,Q6NVV9
IPI00902507,Q6NVV9
IPI00902519,Q5TIA1
IPI00902533,Q96HA1
IPI00902545,A8MYR8
IPI00902560,P45880
IPI00902565,P0CG32
IPI00902569,A6NME0
IPI00902575,O43310
IPI00902587,P0C843
IPI00902593,Q9C0I3
IPI00902595,Q86TB9
IPI00902598,A5PLK6
IPI00902603,Q5TIA1
IPI00902611,Q96FT9
IPI00902614,Q9UPU5
IPI00902615,Q6Q8B3
IPI00902621,Q96HA1
IPI00902622,Q9HCH0
IPI00902627,Q8NAE5
IPI00902653,P07911
IPI00902659,Q7RTY3
IPI00902660,Q12967
IPI00902662,A6NEC2
IPI00902667,Q5TB30
IPI00902670,Q2TV78
IPI00902682,Q9H6U6
IPI00902705,Q14451
IPI00902721,Q9UF56
IPI00902722,Q9UHV5
IPI00902732,O95140
IPI00902744,A6NI28
IPI00902746,Q8TC57
IPI00902748,Q6P1K1
IPI00902761,Q9P1Z2
IPI00902767,Q6ZW54
IPI00902772,Q15652
IPI00902792,Q86VF2
IPI00902794,Q96JG8
IPI00902808,A6NKB5
IPI00902812,P15502
IPI00902823,Q6NVV9
IPI00902826,Q5T0N1
IPI00902840,P15941
IPI00902842,O15068
IPI00902847,P0C854
IPI00902852,B2RTY4
IPI00902854,Q14916
IPI00902858,P14598
IPI00902876,Q8N8Q3
IPI00902883,Q9UHV5
IPI00902898,Q9Y520
IPI00902902,Q8WW14
IPI00902906,Q92932
IPI00902918,P0C860
IPI00902937,A5PLK6
IPI00902940,Q5TIA1
IPI00902943,B2RTY4
IPI00902948,Q5R372
IPI00902954,Q8WXG9
IPI00902956,P0C841
IPI00902963,Q9Y2I1
IPI00902969,P55789
IPI00902975,Q9BUN8
IPI00902977,Q8N573
IPI00902979,A2RRH5
IPI00902986,Q8N4X5
IPI00902987,Q9BSM1
IPI00903001,Q8N2Q7
IPI00903012,Q70EL1
IPI00903025,O15405
IPI00903027,Q9BYW1
IPI00903050,O60237
IPI00903061,O75648
IPI00903064,B2RNN3
IPI00903067,Q3B8N2
IPI00903081,Q96JH8
IPI00903087,A4D0T7
IPI00903090,Q96KR4
IPI00903109,Q96KV7
IPI00903124,Q53TQ3
IPI00903131,A7E2Y1
IPI00903139,Q6QEF8
IPI00903142,Q5SQI0
IPI00903145,P35241
IPI00903152,Q96BW5
IPI00903166,Q5T7P8
IPI00903174,Q9Y4I5
IPI00903175,Q9NXE4
IPI00903195,Q6ZMJ4
IPI00903202,Q9H1X3
IPI00903292,O75083
IPI00903296,Q5VT25
IPI00903300,Q9P2K3
IPI00903303,Q9BRR6
IPI00903316,P31994
IPI00903317,Q5TIA1
IPI00903319,P54253
IPI00903322,A7E2Y1
IPI00903325,O95789
IPI00903333,P0C874
IPI00903337,P0C842
IPI00903340,P0C864
IPI00903342,P57773
IPI00903343,B1AJZ9
IPI00908312,Q92989
IPI00908321,A6NFN9
IPI00908327,Q9Y508
IPI00908333,A6NFN3
IPI00908339,Q9BZF3
IPI00908345,Q9H0A9
IPI00908346,Q9Y261
IPI00908363,Q8TBF2
IPI00908369,O15439
IPI00908418,E7ERA6
IPI00908443,O75923
IPI00908444,Q13555
IPI00908470,Q8TAG6
IPI00908473,Q96HN2
IPI00908515,Q9H8M2
IPI00908521,P80723
