Accession,Protein
IPI00003933,Q16775
IPI00003935,Q16778
IPI00003939,P01702
IPI00003944,P11182
IPI00003947,P01708
IPI00003949,P61088
IPI00003964,Q93008
IPI00003965,Q93009
IPI00003966,Q16790
IPI00003968,Q16795
IPI00003970,Q16798
IPI00003971,Q16799
IPI00003983,P01730
IPI00003985,Q9Y276
IPI00003986,P01733
IPI00003987,P01737
IPI00003990,Q86WA6
IPI00003999,Q93038
IPI00004015,Q13761
IPI00004045,Q93062
IPI00004047,Q93063
IPI00004065,Q93070
IPI00004067,Q93073
IPI00004068,Q93074
IPI00004069,Q93075
IPI00004084,Q99941
IPI00004092,Q93084
IPI00004101,Q93088
IPI00004114,Q93091
IPI00004121,Q93097
IPI00004125,Q93098
IPI00004167,Q9NSC2
IPI00004233,P46013
IPI00004237,P46019
IPI00004247,P46020
IPI00004267,Q99720
IPI00004272,Q9UF02
IPI00004273,P49756
IPI00004279,P46059
IPI00004288,Q9Y286
IPI00004290,Q68CQ4
IPI00004294,Q15327
IPI00004301,Q9UN19
IPI00004307,Q9UQV4
IPI00004308,Q9UET6
IPI00004310,O95274
IPI00004312,P52630
IPI00004315,Q9Y336
IPI00004317,P54098
IPI00004324,O43617
IPI00004325,O75529
IPI00004329,Q9HBX3
IPI00004334,P46089
IPI00004337,O95625
IPI00004338,Q9BXH1
IPI00004341,Q9UF56
IPI00004344,Q9UHB7
IPI00004345,P46091
IPI00004346,P46092
IPI00004347,P46093
IPI00004349,P46094
IPI00004350,P52655
IPI00004353,P52657
IPI00004358,P11216
IPI00004362,Q86VD1
IPI00004363,Q9UEW8
IPI00004364,O75469
IPI00004366,Q9UHF4
IPI00004367,Q9H0Q3
IPI00004368,Q9UHP6
IPI00004372,Q16819
IPI00004373,P11226
IPI00004379,Q9NP08
IPI00004382,Q9UHA7
IPI00004387,Q9UHF5
IPI00004388,Q16825
IPI00004389,Q9UGJ1
IPI00004390,Q16828
IPI00004392,P36639
IPI00004398,Q9Y6X1
IPI00004399,Q9UJM3
IPI00004401,Q9NPI5
IPI00004405,Q16538
IPI00004406,Q16831
IPI00004407,Q9Y3P8
IPI00004408,Q9UEY8
IPI00004409,Q16832
IPI00004413,O75509
IPI00004416,O43633
IPI00004419,O15015
IPI00004420,O15016
IPI00004421,P11245
IPI00004425,Q9NZP6
IPI00004431,P23759
IPI00004433,Q9UQ52
IPI00004436,O15116
IPI00004437,Q9NXR5
IPI00004440,Q16849
IPI00004445,Q9NY99
IPI00004446,O60687
IPI00004447,O95231
IPI00004450,O75526
IPI00004454,Q9P2X0
IPI00004457,Q16853
IPI00004459,Q9UNQ2
IPI00004461,Q16854
IPI00004470,Q9UQ10
IPI00004471,Q53GG5
IPI00004472,Q9H4A3
IPI00004473,Q02297
IPI00004474,Q9Y2B4
IPI00004476,Q9NYW4
IPI00004477,O75575
IPI00004480,O15204
IPI00004482,Q6NX49
IPI00004488,Q16864
IPI00004489,O95396
IPI00004494,O15041
IPI00004497,P11274
IPI00004500,O15049
IPI00004502,Q9NXC2
IPI00004504,O75995
IPI00004506,Q9NXV2
IPI00004509,Q16873
IPI00004511,Q16875
IPI00004516,O15055
IPI00004521,Q9NY74
IPI00004523,Q6FIF0
IPI00004524,P28676
IPI00004527,O15063
IPI00004533,O15066
IPI00004534,O15067
IPI00004539,O75618
IPI00004549,Q8WV28
IPI00004550,Q2M2I5
IPI00004551,Q9C000
IPI00004554,Q86Y01
IPI00004560,O15075
IPI00004563,Q9NUU6
IPI00004566,Q08881
IPI00004567,Q9NVM4
IPI00004569,P28698
IPI00004573,P01833
IPI00004581,P78545
IPI00004584,O15091
IPI00004606,P01858
IPI00004653,O43915
IPI00004655,Q14331
IPI00004656,P61769
IPI00004657,P01889
IPI00004668,Q9BYC5
IPI00004669,Q10471
IPI00004670,Q14435
IPI00004671,Q14789
IPI00004672,P01893
IPI00004712,O60921
IPI00004758,Q5SW96
IPI00004795,P54105
IPI00004797,P54107
IPI00004815,Q9UDX3
IPI00004827,Q9UFM2
IPI00004833,Q96B42
IPI00004838,P46108
IPI00004839,P46109
IPI00004845,Q9UFN0
IPI00004859,P54132
IPI00004860,P54136
IPI00004902,P38117
IPI00004924,Q9H4E7
IPI00004926,Q9GZN0
IPI00004927,Q9GZW5
IPI00004928,Q9GZT9
IPI00004930,Q9H4D5
IPI00004931,Q9GZY0
IPI00004933,Q9HB15
IPI00004942,Q9Y3S2
IPI00004944,Q6U841
IPI00004946,Q9H2A7
IPI00004948,Q86YR5
IPI00004951,Q9H8W3
IPI00004957,Q9Y5C1
IPI00004958,Q9H9C1
IPI00004962,O00461
IPI00004964,O00398
IPI00004968,Q9UMS4
IPI00004969,Q9H649
IPI00004970,O75691
IPI00004971,Q9H6Z9
IPI00004977,P52735
IPI00004981,P52738
IPI00004988,Q9NQG1
IPI00004995,P52740
IPI00005001,P52743
IPI00005004,P52746
IPI00005011,Q9NZN8
IPI00005012,P11308
IPI00005014,P11309
IPI00005015,O75175
IPI00005018,Q9NZI7
